timestamp,money_line_home,money_line_draw,money_line_away,spread_-1.75_home,spread_-1.75_away,spread_-1.5_home,spread_-1.5_away,spread_-1.25_home,spread_-1.25_away,spread_-1.0_home,spread_-1.0_away,spread_-0.75_home,spread_-0.75_away,spread_-0.5_home,spread_-0.5_away,spread_-0.25_home,spread_-0.25_away,spread_0.0_home,spread_0.0_away,spread_0.25_home,spread_0.25_away,totals_4.5_over,totals_4.5_under
2025-11-23 16:34:21,1.74,4.13,4.02,3.47,1.297,2.86,1.409,2.57,1.502,2.26,1.636,1.943,1.877,1.74,2.09,1.543,2.46,1.349,3.14,1.285,3.57,3.37,1.331
2025-11-23 16:35:21,1.746,4.13,4.01,3.49,1.295,2.87,1.408,2.58,1.5,2.27,1.632,1.952,1.869,1.746,2.09,1.546,2.45,1.352,3.13,1.287,3.55,3.37,1.331
2025-11-23 16:38:01,1.769,4.07,3.95,3.55,1.288,2.92,1.396,2.62,1.485,2.32,1.609,1.98,1.84,1.769,2.06,1.564,2.41,1.363,3.07,1.294,3.5,3.37,1.331
2025-11-23 16:38:31,1.793,4.01,3.89,3.61,1.28,2.97,1.384,2.67,1.469,2.36,1.588,2.01,1.813,1.793,2.02,1.581,2.37,1.375,3.01,1.303,3.44,3.37,1.331
2025-11-23 16:44:46,1.781,4.02,3.94,3.58,1.283,2.94,1.39,2.65,1.476,2.34,1.598,2,1.826,1.781,2.04,1.571,2.39,1.367,3.05,1.296,3.48,3.37,1.331
2025-11-23 16:44:56,1.763,4.09,3.95,3.47,1.298,2.87,1.408,2.58,1.497,2.29,1.625,1.97,1.854,1.763,2.06,1.561,2.41,1.362,3.08,1.294,3.5,3.37,1.331
2025-11-24 04:08:14,1.787,4.17,3.93,3.53,1.304,2.91,1.414,2.63,1.505,2.33,1.628,2,1.854,1.787,2.07,1.584,2.41,1.383,3.06,1.311,3.48,3.37,1.331
2025-11-24 04:08:24,1.793,4.15,3.93,3.54,1.303,2.92,1.413,2.63,1.502,2.33,1.628,2,1.854,1.793,2.06,1.588,2.41,1.383,3.06,1.312,3.48,3.37,1.331
2025-11-24 16:13:10,1.781,4.18,3.95,3.53,1.305,2.91,1.416,2.62,1.505,2.32,1.632,1.99,1.862,1.781,2.07,1.581,2.42,1.378,3.08,1.309,3.5,3.37,1.331
2025-11-29 21:35:28,1.781,4.17,3.95,3.53,1.304,2.91,1.414,2.62,1.505,2.32,1.628,2,1.862,1.781,2.07,1.581,2.42,1.38,3.07,1.309,3.5,3.37,1.331
2025-11-30 14:44:59,1.781,4.18,3.95,3.52,1.306,2.9,1.418,2.62,1.507,2.31,1.632,1.99,1.862,1.781,2.07,1.581,2.42,1.38,3.07,1.31,3.49,3.37,1.331
2025-11-30 16:58:40,1.781,4.18,3.95,3.58,1.321,2.95,1.434,2.65,1.526,2.34,1.653,1.99,1.862,1.806,2.1,1.602,2.45,1.398,3.12,1.325,3.55,3.37,1.331
2025-11-30 19:32:30,1.826,4.23,3.98,3.65,1.313,3,1.423,2.7,1.512,2.38,1.632,2.05,1.869,1.819,2.07,1.613,2.42,1.404,3.08,1.331,3.51,3.37,1.331
